#chrom,st,end,accession,mRNA_size,gene_strand,Frag_count,FPM,FPKM
chrI,4442519,4442919,SPNCRNA.988.1,400,-,4,1.731679695,4.329199237
chrI,5387956,5388056,SPNCRNA.265.1,100,+,1,0.4329199237,4.329199237
chrI,2578425,2578524,SPATRNAchrILE.02.1,99,+,1,0.4329199237,4.372928522
chrI,1314923,1315020,SPATRNAPRO.02.1,97,-,1,0.4329199237,4.463091997
chrI,4265148,4265245,SPATRNASER.03.1,97,+,1,0.4329199237,4.463091997
chrI,4238305,4238401,SPSNORNA.14.1,96,+,1,0.4329199237,4.509582538
chrII,4103471,4103759,SPBC56F2.15.1,288,-,3,1.298759771,4.509582538
chrI,339547,339642,SPSNORNA.29.1,95,-,1,0.4329199237,4.557051828
chrII,535303,536041,SPBC649.02.1,565,+,6,2.597519542,4.59737972
chrI,1527087,1527181,SPATRNALEU.01.1,94,-,1,0.4329199237,4.605531103
chrIII,523288,523475,SPRRNA.24.1,187,+,2,0.8658398473,4.630159611
chrIII,2085697,2086538,SPNCRNA.1259.1,841,-,9,3.896279313,4.632912382
chrII,2201158,2202652,SPBC1815.01.1,1494,+,16,6.926718779,4.636357951
chrII,1056490,1057512,SPBC337.15c.1,1022,-,11,4.76211916,4.659607789
chrII,569120,569305,SPRRNA.30.1,185,+,2,0.8658398473,4.680215391
chrII,1199881,1200066,SPRRNA.27.1,185,+,2,0.8658398473,4.680215391
chrI,4008510,4008693,SPAC27E2.13.1,183,+,2,0.8658398473,4.731365286
chrI,4154911,4155002,SPSNORNA.13.1,91,+,1,0.4329199237,4.757361799
chrI,5442998,5443180,SPNCRNA.272.1,182,+,2,0.8658398473,4.757361799
chrI,2547092,2547449,SPNCRNA.835.1,357,+,4,1.731679695,4.850643402
chrI,527386,527474,SPSNORNA.05.1,88,+,1,0.4329199237,4.919544587
chrII,1378509,1378770,SPBC8D2.23.1,261,+,3,1.298759771,4.976091077
chrII,4157820,4159543,SPBC14F5.04c.1,1723,-,20,8.658398473,5.025187738
chrIII,861512,862459,SPCC63.13.1,947,+,11,4.76211916,5.028636917
chrI,2135327,2135841,SPAC23C11.02c.1,514,-,6,2.597519542,5.053539965
chrII,2601157,2601839,SPNCRNA.1534.1,682,+,8,3.463359389,5.078239574
chrIII,540205,540821,SPCP31B10.08c.1,426,-,5,2.164599618,5.081219761
chrI,3002833,3003255,SPNCRNA.73.1,422,-,5,2.164599618,5.129382982
chrI,1316807,1316891,SPSNORNA.53.1,84,+,1,0.4329199237,5.153808615
chrII,259505,260025,SPBC800.04c.1,420,-,5,2.164599618,5.153808615
chrIII,1253192,1253287,SPCTRNASER.10.1,84,+,1,0.4329199237,5.153808615
chrIII,2072079,2072174,SPCTRNASER.13.1,84,+,1,0.4329199237,5.153808615
chrII,2826641,2827645,SPNCRNA.1554.1,1004,-,12,5.195039084,5.174341717
chrII,884165,884332,SPSNORNA.35.1,167,-,2,0.8658398473,5.184669745
chrI,4796976,4797059,SPATRNAALA.06.1,83,+,1,0.4329199237,5.215902695
chrIII,115393,115476,SPNCRNA.129.1,83,-,1,0.4329199237,5.215902695
chrI,4529388,4531031,SPAC27D7.11c.1,1643,-,20,8.658398473,5.269871256
chrI,5437746,5437828,SPATRNASER.04.1,82,+,1,0.4329199237,5.279511264
chrII,429182,430166,SPBC582.06c.1,984,-,12,5.195039084,5.279511264
chrII,744753,744835,SPBTRNASER.05.1,82,-,1,0.4329199237,5.279511264
chrIII,473198,473280,SPCTRNASER.07.1,82,-,1,0.4329199237,5.279511264
chrIII,1102808,1102909,SPCTRNALEU.13.1,82,+,1,0.4329199237,5.279511264
chrI,3076913,3077076,SPNCRNA.213.1,163,+,2,0.8658398473,5.311900904
chrII,1947984,1950255,SPBC16E9.16c.1,2268,-,28,12.12175786,5.344690416
chrIII,49075,49156,SPNCRNA.450.1,81,+,1,0.4329199237,5.344690416
chrII,1793857,1794755,SPBC18H10.14.1,727,+,9,3.896279313,5.359393828
chrI,3547888,3548049,SPRRNA.15.1,161,-,2,0.8658398473,5.377887251
chrI,1359978,1360931,SPNCRNA.738.1,953,-,12,5.195039084,5.451247727
chrII,3209138,3209217,SPBTRNALEU.09.1,79,-,1,0.4329199237,5.479999034
chrI,4178277,4179532,SPNCRNA.968.1,1255,-,16,6.926718779,5.519297832
chrI,238508,238898,SPNCRNA.144.1,390,+,5,2.164599618,5.550255432
chrI,526725,526803,SPSNORNA.02.1,78,+,1,0.4329199237,5.550255432
chrII,1224482,1224560,SPNCRNA.342.1,78,+,1,0.4329199237,5.550255432
chrIII,1524516,1525212,SPCC584.16c.1,696,-,9,3.896279313,5.598102461
chrI,4010912,4011317,SPAC27E2.12.1,231,+,3,1.298759771,5.622336671
chrII,472083,473687,SPBC428.15.1,1604,+,21,9.091318397,5.667904238
chrI,1712995,1713071,SPSNORNA.31.1,76,+,1,0.4329199237,5.696314785
chrI,237902,238881,SPNCRNA.627.1,979,+,13,5.627959008,5.748681315
chrII,1558178,1558705,SPBC29B5.03c.1,527,-,7,3.030439466,5.750359517
chrIII,267954,269523,SPCC794.09c.1,1569,-,21,9.091318397,5.794339323
chrIII,2277889,2278303,SPCC1840.10.1,297,+,4,1.731679695,5.830571363
chrI,3773909,3773983,SPATRNAchrILE.04.1,74,-,1,0.4329199237,5.850269239
chrI,5442520,5442742,SPNCRNA.271.1,222,+,3,1.298759771,5.850269239
chrII,1598074,1598155,SPBTRNAMET.05.1,74,-,1,0.4329199237,5.850269239
chrII,4031742,4031816,SPBTRNAASN.03.1,74,+,1,0.4329199237,5.850269239
chrIII,947261,947335,SPCTRNAASN.05.1,74,+,1,0.4329199237,5.850269239
chrIII,715985,717312,SPNCRNA.472.1,1327,+,18,7.792558626,5.872312454
chrI,2094109,2095066,SPAC3C7.14c.1,957,-,13,5.627959008,5.880834909
chrI,2510537,2510610,SPATRNACYS.02.1,73,+,1,0.4329199237,5.930409913
chrII,326651,326724,SPBTRNAARG.04.1,73,-,1,0.4329199237,5.930409913
chrIII,578846,578919,SPCTRNAARG.08.1,73,+,1,0.4329199237,5.930409913
chrIII,1206746,1206819,SPCTRNAVAL.11.1,73,-,1,0.4329199237,5.930409913
chrII,2758644,2759294,SPBC336.10c.1,650,-,9,3.896279313,5.994275866
chrI,718118,718190,SPATRNAGLU.01.1,72,-,1,0.4329199237,6.012776718
chrI,1096473,1096545,SPATRNAMET.01.1,72,+,1,0.4329199237,6.012776718
chrI,1603304,1603376,SPATRNATHR.01.1,72,-,1,0.4329199237,6.012776718
chrI,3164748,3164820,SPATRNATHR.04.1,72,+,1,0.4329199237,6.012776718
chrI,4265252,4265324,SPATRNAMET.03.1,72,+,1,0.4329199237,6.012776718
chrII,820490,820562,SPBTRNAGLU.05.1,72,+,1,0.4329199237,6.012776718
chrII,1160892,1160994,SPBTRNAARG.05.1,72,-,1,0.4329199237,6.012776718
chrII,1503952,1504024,SPBTRNATHR.06.1,72,+,1,0.4329199237,6.012776718
chrII,1825786,1825858,SPBTRNAPRO.04.1,72,-,1,0.4329199237,6.012776718
chrII,2939714,2939786,SPBTRNAPRO.07.1,72,+,1,0.4329199237,6.012776718
chrII,3360518,3360590,SPBTRNAPRO.08.1,72,-,1,0.4329199237,6.012776718
chrII,4107638,4107710,SPBTRNAGLU.08.1,72,+,1,0.4329199237,6.012776718
chrIII,1863130,1863202,SPCTRNAGLN.05.1,72,+,1,0.4329199237,6.012776718
chrM,14158,14230,SPMchrITTRNAPHE.01.1,72,+,1,0.4329199237,6.012776718
chrII,1513329,1513749,SPBC83.02c.1,358,-,5,2.164599618,6.046367649
chrI,2249179,2249250,SPATRNAGLY.02.1,71,-,1,0.4329199237,6.097463714
chrII,326234,326305,SPBTRNAGLY.05.1,71,+,1,0.4329199237,6.097463714
chrIII,2139407,2139478,SPCTRNAASP.08.1,71,-,1,0.4329199237,6.097463714
chrM,3059,3130,SPMchrITTRNAASN.01.1,71,+,1,0.4329199237,6.097463714
chrM,14237,14308,SPMchrITTRNAASP.01.1,71,+,1,0.4329199237,6.097463714
chrIII,2362247,2362743,SPNCRNA.519.1,496,+,7,3.030439466,6.109756987
chrI,3382273,3383404,SPAC8E11.03c.1,1057,+,15,6.493798855,6.143612919
chrI,2745871,2746733,SPAC6F6.07c.1,632,-,9,3.896279313,6.164998913
chrII,1688335,1689599,SPBC19C2.07.1,1264,+,18,7.792558626,6.164998913
chrII,2805983,2807593,SPNCRNA.1550.1,1610,+,23,9.957158244,6.184570338
chrII,3961854,3962537,SPBC26H8.14c.1,559,-,8,3.463359389,6.19563397
chrIII,2085861,2086765,SPNCRNA.1260.1,904,+,13,5.627959008,6.225618371
chrIII,481892,482861,SPCC364.03.1,969,-,14,6.060878931,6.254777019
chrII,2807533,2809051,SPBC32F12.11.1,1518,+,22,9.524238321,6.274201792
chrII,3488894,3489307,SPNCRNA.1605.1,413,+,6,2.597519542,6.289393564
chrII,3032491,3033222,SPBC15D4.13c.1,615,-,9,3.896279313,6.335413517
chrI,5426977,5428275,SPNCRNA.1083.1,1298,-,19,8.22547855,6.337040485
chrI,3986647,3986920,SPAPB18E9.05c.1,273,-,4,1.731679695,6.343149065
chrIII,702365,703184,SPNCRNA.1152.1,819,-,12,5.195039084,6.343149065
chrII,2778867,2779942,SPBC685.06.1,1020,+,15,6.493798855,6.366469466
chrII,3958767,3959174,SPSNRNA.07.1,407,-,6,2.597519542,6.382111897
chrII,593187,593575,SPBC1706.02c.1,271,-,4,1.731679695,6.389961973
chrI,4917554,4919099,SPAPB8E5.06c.1,1545,-,23,9.957158244,6.444762618
chrI,510356,511293,SPNCRNA.657.1,937,+,14,6.060878931,6.468387333
chrI,3876756,3877223,SPNCRNA.93.1,467,+,7,3.030439466,6.489163738
chrI,959304,959770,SPSNRNA.02.1,466,-,7,3.030439466,6.503088982
chrIII,2392234,2394391,SPCP1E11.02.1,1990,+,30,12.98759771,6.52643101
chrIII,2308121,2308319,SPRRNA.07.1,198,-,3,1.298759771,6.559392783
chrI,4095133,4096584,SPAC23A1.10.1,1451,+,22,9.524238321,6.563913384
chrIII,1878671,1879198,SPNCRNA.1240.1,527,-,8,3.463359389,6.571839448
chrI,1438293,1439013,SPAC3A12.10.1,720,+,11,4.76211916,6.614054389
chrI,3002975,3003758,SPNCRNA.74.1,783,-,12,5.195039084,6.634788102
chrI,3410908,3411881,SPAC3H5.12c.1,973,+,15,6.493798855,6.673996768
chrII,1247410,1248188,SPBC651.06.1,778,+,12,5.195039084,6.677428129
chrII,3883220,3883726,SPBC211.05.1,389,+,6,2.597519542,6.677428129
chrI,3165353,3165546,SPRRNA.14.1,193,+,3,1.298759771,6.729325238
chrI,2327257,2327629,SPNCRNA.57.1,321,-,5,2.164599618,6.743300992
chrIII,1857149,1858621,SPCC1223.09.1,1472,-,23,9.957158244,6.764373807
chrII,3812414,3813549,SPBC21C3.10c.1,1087,-,17,7.359638702,6.770596782
chrI,3844742,3846645,SPAC4H3.10c.1,1903,-,30,12.98759771,6.824801739
chrIII,583415,583605,SPSNORNA.32.1,190,+,3,1.298759771,6.835577742
chrI,2040859,2041514,SPAC607.03c.1,505,-,8,3.463359389,6.858137405
chrI,2907642,2910274,SPAC513.01c.1,2632,-,42,18.18263679,6.908296654
chrI,359637,361266,SPAC630.08c.1,1629,-,26,11.25591802,6.909710261
chrI,1756015,1757330,SPAC17A5.03.1,1315,+,21,9.091318397,6.913550112
chrII,156253,157003,SPNCRNA.298.1,750,+,12,5.195039084,6.926718779
chrI,4531069,4531631,SPNCRNA.248.1,562,+,9,3.896279313,6.93288134
chrI,5328561,5329060,SPNCRNA.1073.1,499,-,8,3.463359389,6.940599979
chrII,3612264,3615320,SPBC16D10.08c.1,3056,-,49,21.21307626,6.941451656
chrI,340208,341954,SPNCRNA.639.1,1746,+,28,12.12175786,6.94258755
chrIII,818301,819361,SPCC1393.10.1,1060,+,17,7.359638702,6.94305538
chrII,2600789,2602096,SPNCRNA.1533.1,1307,-,21,9.091318397,6.955867174
chrI,4222647,4222893,SPAC1F7.14c.1,246,-,4,1.731679695,7.039348352
chrI,2288355,2290170,SPAC4G9.20c.1,1414,-,23,9.957158244,7.041837514
chrI,1138565,1139117,SPAC56F8.07.1,552,+,9,3.896279313,7.058477016
chrI,3003815,3004916,SPNCRNA.01.1,1101,+,18,7.792558626,7.077709924
chrII,3008601,3011536,SPNCRNA.1572.1,2935,+,48,20.78015634,7.080121409
chrI,1768708,1770113,SPAC17A5.09c.1,1405,-,23,9.957158244,7.08694537
chrI,2954982,2955350,SPAPB24D3.05c.1,366,-,6,2.597519542,7.097047929
chrIII,2362178,2362725,SPNCRNA.1291.1,547,+,9,3.896279313,7.122996916
chrI,2427532,2427775,SPAC6B12.19.1,243,-,4,1.731679695,7.126253888
chrIII,888628,889295,SPCC16A11.11.1,667,+,11,4.76211916,7.139608936
chrIII,1672002,1672364,SPCC417.03.1,303,+,5,2.164599618,7.14389313
chrII,428943,430390,SPNCRNA.1356.1,1447,+,24,10.39007817,7.180427207
chrII,472030,473716,SPNCRNA.1363.1,1686,-,28,12.12175786,7.189654723
chrIII,691088,691690,SPCC16C4.13c.1,602,-,10,4.329199237,7.191360858
chrI,2416875,2418250,SPNCRNA.824.1,1375,+,23,9.957158244,7.241569632
chrII,2582991,2584300,SPBC2G5.04c.1,1255,-,21,9.091318397,7.244078404
chrII,626003,627556,SPBC839.15c.1,1553,-,26,11.25591802,7.247854485
chrII,4341622,4343422,SPBC16C6.07c.1,1549,-,26,11.25591802,7.266570701
chrI,456526,456645,SPRRNA.11.1,119,+,2,0.8658398473,7.275965104
chrI,4286743,4287454,SPAC2C4.16c.1,711,-,12,5.195039084,7.306665378
chrI,1944126,1945368,SPAC3H1.07.1,1242,+,21,9.091318397,7.319902091
chrII,3488677,3489268,SPNCRNA.1604.1,591,-,10,4.329199237,7.325210214
chrI,949645,950047,SPAC222.19.1,354,+,6,2.597519542,7.337625825
chrI,2997452,2998157,SPAC31G5.07.1,705,+,12,5.195039084,7.368849765
chrI,101714,103594,SPAC1F8.07c.1,1878,-,32,13.85343756,7.376697315
chrI,362247,363714,SPAC630.09c.1,1467,-,25,10.82299809,7.377640144
chrI,799484,800012,SPNCRNA.687.1,528,-,9,3.896279313,7.379316881
chrIII,186331,187386,SPNCRNA.1117.1,1055,+,18,7.792558626,7.386311494
chrI,2295579,2297981,SPAC13G7.02c.1,2402,-,41,17.74971687,7.389557398
chrI,5018721,5019072,SPNCRNA.258.1,351,+,6,2.597519542,7.400340576
chrI,1476886,1478399,SPAC9.08c.1,1513,-,26,11.25591802,7.439469937
chrI,1954819,1956332,SPNCRNA.781.1,1513,+,26,11.25591802,7.439469937
chrI,1002837,1004804,SPAC821.10c.1,1967,-,34,14.7192774,7.483110018
chrII,2297163,2300512,SPBC16H5.02.1,3349,-,58,25.10935557,7.497568102
chrI,2324480,2325288,SPAC6C3.02c.1,808,-,14,6.060878931,7.501087786
chrII,3364709,3365690,SPBC11C11.09c.1,981,-,17,7.359638702,7.502180125
chrII,2488244,2488936,SPBC557.02c.1,692,-,12,5.195039084,7.507281913
chrI,3033455,3033916,SPAC1786.04.1,461,-,8,3.463359389,7.512710172
chrI,1563478,1563593,SPRRNA.53.1,115,+,2,0.8658398473,7.529042151
chrI,4523297,4524731,SPAC27D7.09c.1,1434,-,25,10.82299809,7.547418474
chrII,3496925,3498873,SPNCRNA.1607.1,1948,-,34,14.7192774,7.55609723
chrIII,1369973,1370202,SPRRNA.03.1,229,-,4,1.731679695,7.561920064
chrI,235532,236104,SPAC806.03c.1,572,-,10,4.329199237,7.568530134
chrI,1667670,1669666,SPAC343.12.1,1996,+,35,15.15219733,7.591281227
chrI,1133225,1134356,SPAC56F8.04c.1,1083,-,19,8.22547855,7.59508638
chrI,5157284,5159163,SPAC26F1.11.1,1879,-,33,14.28635748,7.603170559
chrI,1478382,1481172,SPAC9.09.1,2790,+,49,21.21307626,7.60325314
chrII,3636474,3637726,SPBP8B7.03c.1,1252,-,22,9.524238321,7.607219106
chrII,1792311,1792936,SPBC18H10.13.1,625,+,11,4.76211916,7.619390657
chrII,3934356,3934809,SPNCRNA.20.1,453,-,8,3.463359389,7.645384965
chrI,1710472,1711124,SPAC664.04c.1,509,-,9,3.896279313,7.654772717
chrII,3028483,3030291,SPNCRNA.1575.1,1808,+,32,13.85343756,7.662299534
chrII,412734,413409,SPNCRNA.1355.1,675,-,12,5.195039084,7.696354199
chrII,2608687,2610710,SPBC25B2.07c.1,2023,-,36,15.58511725,7.703963051
chrI,239729,240571,SPNCRNA.145.1,842,+,15,6.493798855,7.712350184
chrI,2350013,2351244,SPAC17G8.05.1,1120,+,20,8.658398473,7.730712923
chrII,1308633,1308745,SPSNORNA.21.1,112,+,2,0.8658398473,7.730712923
chrII,1749533,1749589,SPNCRNA.116.1,56,+,1,0.4329199237,7.730712923
chrII,2983906,2983962,SPNCRNA.118.1,56,+,1,0.4329199237,7.730712923
chrII,3966582,3968193,SPBC26H8.08c.1,1568,-,28,12.12175786,7.730712923
chrI,4248776,4250231,SPAC1F7.12.1,1455,+,26,11.25591802,7.736026127
chrI,849420,850259,SPAC521.05.1,839,+,15,6.493798855,7.739927122
chrI,1821400,1823413,SPAC1002.13c.1,2013,-,36,15.58511725,7.742234104
chrII,4045722,4047346,SPBC215.09c.1,1564,-,28,12.12175786,7.750484567
chrII,3274927,3275541,SPBC25H2.05.1,614,-,11,4.76211916,7.755894398
chrIII,1437117,1438010,SPCC622.18.1,893,+,16,6.926718779,7.756683963
chrII,2584402,2585684,SPNCRNA.402.1,1282,+,23,9.957158244,7.766894106
chrII,3408355,3410137,SPNCRNA.419.1,1782,+,32,13.85343756,7.77409515
chrII,1504331,1504498,SPRRNA.33.1,167,+,3,1.298759771,7.777004617
chrII,623322,624091,SPBC839.13c.1,723,-,13,5.627959008,7.784175668
chrI,1973478,1974092,SPAC9G1.03c.1,555,-,10,4.329199237,7.800358985
chrI,2362642,2362753,SPNCRNA.78.1,111,+,2,0.8658398473,7.800358985
chrII,789839,790240,SPBC530.16.1,222,-,4,1.731679695,7.800358985
chrII,3096967,3097078,SPRRNA.54.1,111,-,2,0.8658398473,7.800358985
chrIII,1736499,1738318,SPCC1450.07c.1,1385,-,25,10.82299809,7.814439055
chrIII,2352295,2353126,SPNCRNA.1290.1,831,+,15,6.493798855,7.814439055
chrIII,1316242,1318070,SPCC1322.13.1,1828,+,33,14.28635748,7.815294027
chrII,1793808,1794860,SPNCRNA.1465.1,1052,-,19,8.22547855,7.81889596
chrII,3442120,3442784,SPBC2G2.04c.1,664,-,12,5.195039084,7.823854042
chrI,4094907,4096013,SPNCRNA.957.1,1106,-,20,8.658398473,7.828570048
chrI,1886751,1888797,SPNCRNA.769.1,2046,-,37,16.01803718,7.828952676
chrII,3505707,3507472,SPBC1105.02c.1,1765,-,32,13.85343756,7.84897312
chrI,4008074,4010224,SPAC27E2.11c.1,2150,-,39,16.88387702,7.852966057
chrIII,2095993,2096985,SPNCRNA.1261.1,992,-,18,7.792558626,7.855401841
chrII,354030,355573,SPNCRNA.1343.1,1543,+,28,12.12175786,7.855967507
chrI,4751389,4752521,SPAPYUG7.04c.1,825,-,15,6.493798855,7.871271339
chrI,4789417,4791232,SPAC22F8.04.1,1815,+,33,14.28635748,7.871271339
chrIII,1354633,1354743,SPNCRNA.490.1,110,+,2,0.8658398473,7.871271339
chrI,911226,911720,SPAC1687.06c.1,494,-,9,3.896279313,7.887205087
chrI,513819,514921,SPAC227.10.1,932,+,17,7.359638702,7.89660805
chrII,3028684,3030224,SPBC15D4.10c.1,1480,-,27,11.68883794,7.897863472
chrII,522602,523313,SPBC1685.17.1,711,+,13,5.627959008,7.91555416
chrI,1596072,1598149,SPAC23H4.06.1,2077,-,38,16.4509571,7.920537843
chrII,3574868,3575250,SPBC887.16.1,382,+,7,3.030439466,7.933087606
chrI,3319188,3320060,SPAPB1E7.12.1,872,+,16,6.926718779,7.943484838
chrII,4283875,4285456,SPBC16A3.08c.1,1251,+,23,9.957158244,7.959359108
chrI,3869081,3869610,SPAC1071.08.1,435,+,8,3.463359389,7.961745723
chrI,1667954,1669964,SPAC343.20.1,2010,-,37,16.01803718,7.969172724
chrI,5174624,5175819,SPAC26F1.05.1,1195,-,22,9.524238321,7.970073909
chrI,2141670,2143567,SPNCRNA.798.1,1897,+,35,15.15219733,7.987452466
chrII,2448091,2450963,SPBC12C2.11.1,2599,-,48,20.78015634,7.995442992
chrI,2203606,2204472,SPAC1783.08c.1,866,-,16,6.926718779,7.99852053
chrIII,2022832,2023261,SPNCRNA.1255.1,429,-,8,3.463359389,8.07309881
chrII,2586371,2588834,SPBC2G5.05.1,2463,+,46,19.91431649,8.085390373
chrI,4439836,4442513,SPAC9E9.03.1,2677,+,50,21.64599618,8.085915646
chrII,2902817,2906068,SPBP4H10.15.1,3211,+,60,25.97519542,8.089441115
chrI,1063020,1063448,SPNCRNA.166.1,428,+,8,3.463359389,8.09196119
chrIII,660739,661264,SPCC16C4.20c.1,428,-,8,3.463359389,8.09196119
chrII,4182550,4184659,SPBC14F5.13c.1,1975,-,37,16.01803718,8.11039857
chrII,3007916,3011223,SPNCRNA.1571.1,3307,-,62,26.84103527,8.11643038
chrII,2335175,2337787,SPBC24C6.09c.1,2612,-,49,21.21307626,8.121392136
chrI,2141631,2143598,SPAC23C11.06c.1,1967,-,37,16.01803718,8.143384431
chrIII,2384638,2385780,SPCC1827.05c.1,1010,-,19,8.22547855,8.144038168
chrI,2992358,2994428,SPNCRNA.870.1,2070,-,39,16.88387702,8.15646233
chrI,4861252,4863516,SPAC4F10.15c.1,2070,-,39,16.88387702,8.15646233
chrII,2503182,2503818,SPBC365.03c.1,636,-,12,5.195039084,8.168300447
chrIII,1360322,1360746,SPNCRNA.491.1,424,+,8,3.463359389,8.168300447
chrI,577198,578150,SPNCRNA.155.1,952,+,18,7.792558626,8.185460742
chrI,4012417,4012891,SPAC27E2.14.1,423,-,8,3.463359389,8.18761085
chrII,3874253,3874906,SPNCRNA.445.1,317,-,6,2.597519542,8.194067956
chrI,2093397,2095721,SPNCRNA.793.1,2324,+,44,19.04847664,8.19641852
chrI,5143744,5145515,SPAC29A4.02c.1,1478,+,28,12.12175786,8.201459988
chrIII,262680,264770,SPCC794.07.1,1953,+,37,16.01803718,8.201759947
chrI,1956475,1957899,SPNCRNA.783.1,1424,-,27,11.68883794,8.208453609
chrIII,1711954,1713007,SPCC191.05c.1,1053,-,20,8.658398473,8.222600639
chrI,339765,342080,SPAC12G12.04.1,2315,-,44,19.04847664,8.228283646
chrII,2780052,2780778,SPBC685.07c.1,682,-,13,5.627959008,8.252139307
chrI,3968931,3969558,SPAC11G7.04.1,627,+,12,5.195039084,8.285548778
chrIII,1474218,1474427,SPRRNA.04.1,209,-,4,1.731679695,8.285548778
chrI,475353,476128,SPAC24H6.07.1,730,-,14,6.060878931,8.302573879
chrII,3025658,3026075,SPBC15D4.08c.1,417,-,8,3.463359389,8.3054182
chrIII,2211102,2211623,SPNCRNA.1272.1,521,-,10,4.329199237,8.309403525
chrI,1186204,1187928,SPAC22A12.16.1,1665,+,32,13.85343756,8.320382917
chrII,2416378,2416742,SPNCRNA.1511.1,364,-,7,3.030439466,8.325383147
chrI,5261934,5265104,SPAPJ760.02c.1,3105,-,60,25.97519542,8.36560239
chrII,3643176,3643653,SPBP8B7.06.1,414,+,8,3.463359389,8.36560239
chrII,2335157,2337882,SPNCRNA.1505.1,2725,+,53,22.94475595,8.420093928
chrI,4250594,4251468,SPAC1F7.13c.1,874,-,17,7.359638702,8.420639248
chrI,1437857,1438678,SPNCRNA.741.1,821,-,16,6.926718779,8.436929085
chrIII,506349,506920,SPCC970.05.1,410,-,8,3.463359389,8.447218023
chrI,3868309,3869076,SPAC1071.07c.1,767,-,15,6.493798855,8.466491336
chrI,2176987,2179661,SPAC13F5.04c.1,1943,-,38,16.4509571,8.466781832
chrI,510409,511433,SPAC227.08c.1,869,-,17,7.359638702,8.469089416
chrI,1818481,1820420,SPAC1002.12c.1,1939,-,38,16.4509571,8.484248117
chrIII,687753,688671,SPCC16C4.11.1,867,+,17,7.359638702,8.488625954
chrIII,1846214,1846762,SPCC1223.15c.1,459,-,9,3.896279313,8.488625954
chrIII,2046411,2047407,SPCC1739.09c.1,714,-,14,6.060878931,8.488625954
chrII,2187454,2189134,SPBC17G9.09.1,1680,+,33,14.28635748,8.503784215
chrI,4320715,4321579,SPAC27F1.03c.1,864,-,17,7.359638702,8.51810035
chrII,612455,613319,SPBC839.07.1,864,+,17,7.359638702,8.51810035
chrI,4742716,4743476,SPNCRNA.1020.1,760,-,15,6.493798855,8.544472178
chrI,238997,240617,SPNCRNA.628.1,1620,+,32,13.85343756,8.551504665
chrI,3069321,3071192,SPAC24C9.12c.1,1871,-,37,16.01803718,8.56121709
chrI,1476730,1478449,SPNCRNA.742.1,1719,+,34,14.7192774,8.562697734
chrIII,1309584,1310947,SPCC1322.10.1,1363,+,27,11.68883794,8.575816536
chrII,3662734,3665346,SPBP8B7.16c.1,1817,-,36,15.58511725,8.577389792
chrI,1711135,1712043,SPAC664.05.1,908,+,18,7.792558626,8.582113024
chrI,4715733,4716187,SPNCRNA.252.1,454,+,9,3.896279313,8.582113024
chrII,187365,189153,SPBC1198.08.1,1663,+,33,14.28635748,8.59071406
chrI,4453279,4455187,SPAC9E9.09c.1,1908,-,38,16.4509571,8.622094916
chrII,4188756,4190763,SPNCRNA.1678.1,2007,-,40,17.31679695,8.628199774
chrII,2738940,2739592,SPNCRNA.406.1,652,+,13,5.627959008,8.631838969
