#chrom,st,end,accession,mRNA_size,gene_strand,Frag_count,FPM,FPKM
chrI,3851645,3852219,SPAC4H3.12c.1,574,-,1,0.246209785,0.4289369077
chrII,4109026,4109600,SPNCRNA.1670.1,574,+,1,0.246209785,0.4289369077
chrI,7618,9274,SPAC212.09c.1,1656,+,3,0.7386293551,0.4460322192
chrII,4059410,4059962,SPNCRNA.437.1,552,+,1,0.246209785,0.4460322192
chrI,3761022,3762114,SPNCRNA.231.1,1092,+,2,0.49241957,0.4509336722
chrI,2707387,2707925,SPNCRNA.845.1,538,+,1,0.246209785,0.4576390056
chrII,4428744,4430247,SPNCRNA.1691.1,1503,+,3,0.7386293551,0.4914366966
chrIII,1107074,1107575,SPNCRNA.485.1,501,+,1,0.246209785,0.4914366966
chrII,1104932,1105933,SPNCRNA.338.1,1001,+,2,0.49241957,0.4919276424
chrII,114091,114583,SPNCRNA.292.1,492,+,1,0.246209785,0.5004263923
chrI,3576108,3576590,SPNCRNA.917.1,482,+,1,0.246209785,0.5108086826
chrI,4325962,4326914,SPAC27F1.10.1,952,-,2,0.49241957,0.5172474475
chrIII,1066010,1066485,SPNCRNA.480.1,475,+,1,0.246209785,0.5183363895
chrI,519256,520194,SPNCRNA.658.1,938,+,2,0.49241957,0.5249675587
chrIII,720638,721568,SPNCRNA.1154.1,930,-,2,0.49241957,0.5294834086
chrII,359902,360366,SPBC1271.06c.1,464,+,1,0.246209785,0.5306245367
chrI,3086471,3086930,SPNCRNA.215.1,459,+,1,0.246209785,0.5364047604
chrII,719162,719617,SPNCRNA.324.1,455,+,1,0.246209785,0.5411204066
chrI,74451,76721,SPAPJ695.02.1,2270,-,5,1.231048925,0.5423123018
chrII,13571,15378,SPBC1348.05.1,1807,+,4,0.9848391401,0.5450133592
chrII,4469017,4471207,SPBPB2B2.06c.1,2190,-,5,1.231048925,0.5621227968
chrII,1953418,1954793,SPBC16E9.17c.1,1290,-,3,0.7386293551,0.5725808954
chrII,2186563,2187406,SPNCRNA.1493.1,843,-,2,0.49241957,0.5841276038
chrII,4242696,4243538,SPNCRNA.439.1,842,+,2,0.49241957,0.5848213421
chrIII,2085697,2086538,SPNCRNA.1259.1,841,-,2,0.49241957,0.5855167301
chrI,4010591,4011430,SPAC27E2.04c.1,839,-,2,0.49241957,0.5869124792
chrII,50109,52193,SPNCRNA.1301.1,2084,+,5,1.231048925,0.5907144554
chrI,27352,27763,SPAC212.02.1,411,-,1,0.246209785,0.5990505718
chrI,2380415,2381234,SPNCRNA.821.1,819,-,2,0.49241957,0.6012448963
chrI,2248602,2249009,SPNCRNA.189.1,407,+,1,0.246209785,0.6049380467
chrII,1953037,1954662,SPNCRNA.571.1,1625,+,4,0.9848391401,0.6060548554
chrII,47055,49071,SPBPB8B6.03.1,2016,+,5,1.231048925,0.6106393478
chrII,3150074,3150475,SPNCRNA.413.1,401,+,1,0.246209785,0.6139894888
chrII,683097,683487,SPNCRNA.323.1,390,+,1,0.246209785,0.6313071411
chrI,4916602,4917521,SPAPB8E5.05.1,769,+,2,0.49241957,0.6403375423
chrII,1636392,1636776,SPNCRNA.371.1,384,+,1,0.246209785,0.6411713151
chrI,5521274,5523181,SPAC869.01.1,1907,-,5,1.231048925,0.6455421736
chrII,1776954,1778833,SPNCRNA.1463.1,1879,-,5,1.231048925,0.6551617483
chrIII,41984,42728,SPNCRNA.07.1,744,-,2,0.49241957,0.6618542608
chrII,1497663,1498394,SPNCRNA.24.1,731,-,2,0.49241957,0.6736245828
chrI,2030501,2030865,SPNCRNA.184.1,364,+,1,0.246209785,0.6764005083
chrI,135568,135926,SPNCRNA.147.1,358,+,1,0.246209785,0.6877368297
chrII,24915,25626,SPBC1348.09.1,711,+,2,0.49241957,0.6925732349
chrII,107582,109353,SPBC359.02.1,1771,+,5,1.231048925,0.6951151469
chrI,5392190,5392898,SPAC3G6.07.1,708,+,2,0.49241957,0.6955078673
chrI,5018721,5019072,SPNCRNA.258.1,351,+,1,0.246209785,0.701452379
chrII,3574354,3575038,SPNCRNA.1617.1,684,-,2,0.49241957,0.7199116521
chrII,47368,51220,SPBPB8B6.04c.1,3760,-,11,2.708307635,0.7202945838
chrIII,49801,50142,SPNCRNA.451.1,341,+,1,0.246209785,0.72202283
chrIII,762602,763615,SPNCRNA.1156.1,1013,-,3,0.7386293551,0.7291503999
chrII,2471720,2472056,SPBC12C2.14c.1,336,-,1,0.246209785,0.7327672173
chrII,388953,390296,SPNCRNA.1352.1,1343,+,4,0.9848391401,0.733312837
chrII,2610659,2611329,SPNCRNA.1536.1,670,-,2,0.49241957,0.7349545821
chrI,4439117,4439451,SPNCRNA.12.1,334,+,1,0.246209785,0.737155045
chrII,1264951,1266264,SPNCRNA.1424.1,1313,-,4,0.9848391401,0.7500678904
chrI,633147,633474,SPAC1F3.08c.1,327,-,1,0.246209785,0.7529351224
chrI,2370709,2371361,SPNCRNA.192.1,652,+,2,0.49241957,0.7552447393
chrII,2738940,2739592,SPNCRNA.406.1,652,+,2,0.49241957,0.7552447393
chrI,5529850,5531144,SPAC186.02c.1,1294,-,4,0.9848391401,0.761081252
chrI,2910332,2910975,SPNCRNA.209.1,643,+,2,0.49241957,0.7658158165
chrI,2327257,2327629,SPNCRNA.57.1,321,-,1,0.246209785,0.7670086761
chrIII,42012,42653,SPNCRNA.1098.1,641,-,2,0.49241957,0.7682052575
chrII,4251906,4252224,SPBC16G5.19.1,318,+,1,0.246209785,0.774244607
chrI,5157284,5159163,SPAC26F1.11.1,1879,-,6,1.47725871,0.786194098
chrI,2976369,2979495,SPAPB1A11.01.1,3126,+,10,2.46209785,0.7876192739
chrII,4519771,4520391,SPBCPT2R1.06c.1,618,-,2,0.49241957,0.7967954208
chrI,2977509,2979357,SPNCRNA.868.1,1848,-,6,1.47725871,0.7993824189
chrII,2162781,2163089,SPNCRNA.392.1,308,+,1,0.246209785,0.7993824189
chrII,2339629,2340238,SPNCRNA.1506.1,609,+,2,0.49241957,0.8085707226
chrI,1572009,1572308,SPNCRNA.80.1,299,-,1,0.246209785,0.823444097
chrII,361401,362298,SPNCRNA.1348.1,897,+,3,0.7386293551,0.823444097
chrII,1685385,1685983,SPNCRNA.1452.1,598,+,2,0.49241957,0.823444097
chrII,36891,37188,SPBC1348.13.1,297,+,1,0.246209785,0.8289891751
chrI,4326025,4326614,SPNCRNA.978.1,589,+,2,0.49241957,0.8360264347
chrIII,827253,827546,SPNCRNA.64.1,293,+,1,0.246209785,0.8403064335
chrII,4497936,4499394,SPBPB2B2.16c.1,1458,-,5,1.231048925,0.8443408265
chrIII,1966854,1967345,SPCC18.19c.1,285,-,1,0.246209785,0.8638939825
chrII,22110,23529,SPBC1348.08c.1,1419,-,5,1.231048925,0.8675468112
chrI,3051824,3053237,SPNCRNA.879.1,1413,+,5,1.231048925,0.8712306618
chrI,4881384,4881949,SPNCRNA.255.1,565,+,2,0.49241957,0.871539062
chrIII,1514061,1514343,SPNCRNA.51.1,282,+,1,0.246209785,0.873084344
chrII,1602772,1604997,SPNCRNA.359.1,2225,+,8,1.96967828,0.8852486652
chrII,1545427,1546254,SPNCRNA.1441.1,827,+,3,0.7386293551,0.8931431137
chrII,2301758,2303132,SPNCRNA.538.1,1374,+,5,1.231048925,0.8959599164
chrII,3702502,3703319,SPNCRNA.428.1,817,+,3,0.7386293551,0.904075098
chrII,2789714,2790257,SPNCRNA.1549.1,543,+,2,0.49241957,0.9068500369
chrIII,2230867,2231410,SPNCRNA.513.1,543,+,2,0.49241957,0.9068500369
chrIII,1482006,1482817,SPCC188.05.1,811,+,3,0.7386293551,0.910763693
chrI,5454228,5454498,SPNCRNA.21.1,270,-,1,0.246209785,0.9118880927
chrIII,219184,220283,SPCC548.02c.1,810,-,3,0.7386293551,0.9118880927
chrII,2265285,2265818,SPNCRNA.1499.1,533,+,2,0.49241957,0.9238641089
chrI,446174,446702,SPNCRNA.649.1,528,-,2,0.49241957,0.932612822
chrI,1955846,1956372,SPNCRNA.782.1,526,-,2,0.49241957,0.9361588784
chrIII,1342275,1342801,SPNCRNA.489.1,526,+,2,0.49241957,0.9361588784
chrIII,2044976,2046024,SPNCRNA.549.1,1048,+,4,0.9848391401,0.9397320039
chrII,1617398,1617921,SPNCRNA.366.1,523,+,2,0.49241957,0.9415288146
chrIII,806075,809247,SPCC1393.07c.1,3116,-,12,2.95451742,0.9481763223
chrI,3728515,3729034,SPAC15E1.07c.1,519,-,2,0.49241957,0.9487852987
chrII,307041,309627,SPNCRNA.1338.1,2586,-,10,2.46209785,0.9520873357
chrIII,2045108,2046142,SPNCRNA.1256.1,1034,+,4,0.9848391401,0.952455648
chrIII,677381,678918,SPNCRNA.469.1,1537,+,6,1.47725871,0.9611312362
chrI,3300811,3302082,SPNCRNA.900.1,1271,-,5,1.231048925,0.9685672109
chrII,3933387,3933894,SPNCRNA.545.1,507,+,2,0.49241957,0.9712417555
chrI,2874955,2877487,SPACUNK4.19.1,2532,+,10,2.46209785,0.9723925159
chrII,107513,108774,SPNCRNA.1309.1,1261,-,5,1.231048925,0.9762481563
chrII,2826641,2827645,SPNCRNA.1554.1,1004,-,4,0.9848391401,0.9809154782
chrIII,1967054,1967807,SPNCRNA.1248.1,753,-,3,0.7386293551,0.9809154782
chrI,5292647,5294751,SPAC11E3.06.1,1751,+,7,1.723468495,0.9842766962
chrI,929155,929654,SPAC1687.23c.1,499,-,2,0.49241957,0.9868127656
chrII,576375,576873,SPNCRNA.313.1,498,+,2,0.49241957,0.9887943173
chrI,5320612,5321854,SPNCRNA.1071.1,1242,-,5,1.231048925,0.9911827094
chrI,977074,977568,SPNCRNA.50.1,494,-,2,0.49241957,0.9968007491
chrII,127310,127803,SPNCRNA.294.1,493,+,2,0.49241957,0.9988226573
chrII,783252,783498,SPRRNA.31.1,246,+,1,0.246209785,1.000852785
chrIII,1091427,1091919,SPNCRNA.482.1,492,+,2,0.49241957,1.000852785
chrII,2804336,2804580,SPNCRNA.39.1,244,-,1,0.246209785,1.009056496
chrIII,639647,640134,SPNCRNA.1148.1,487,+,2,0.49241957,1.011128481
chrII,890906,892096,SPNCRNA.332.1,1190,+,5,1.231048925,1.034494895
chrIII,36420,36657,SPCP20C8.04.1,237,+,1,0.246209785,1.038859852
chrII,1749625,1751043,SPNCRNA.1460.1,1418,-,6,1.47725871,1.041790346
chrI,88200,90300,SPAC1F8.03c.1,2100,-,9,2.215888065,1.055184793
chrIII,201550,202707,SPCC1235.12c.1,1157,-,5,1.231048925,1.0640008
chrIII,1341851,1342989,SPNCRNA.1187.1,1138,+,5,1.231048925,1.081765312
chrII,2204840,2205295,SPNCRNA.68.1,455,-,2,0.49241957,1.082240813
chrIII,258115,258797,SPNCRNA.1122.1,682,+,3,0.7386293551,1.083034245
chrI,5497917,5499280,SPAC869.08.1,1363,-,6,1.47725871,1.083828841
chrI,4715733,4716187,SPNCRNA.252.1,454,+,2,0.49241957,1.084624604
chrI,5496941,5497837,SPNCRNA.1093.1,896,+,4,0.9848391401,1.099150826
chrII,141284,142180,SPNCRNA.1315.1,896,-,4,0.9848391401,1.099150826
chrI,18041,18974,SPAC212.06c.1,891,+,4,0.9848391401,1.1053189
chrIII,564186,565519,SPNCRNA.466.1,1333,+,6,1.47725871,1.108221088
chrI,3762864,3763969,SPNCRNA.232.1,1105,+,5,1.231048925,1.114071425
chrII,1712243,1712906,SPNCRNA.1455.1,663,+,3,0.7386293551,1.114071425
chrI,71029,71470,SPNCRNA.137.1,441,+,2,0.49241957,1.116597664
chrI,649448,649889,SPAC1D4.07c.1,441,-,2,0.49241957,1.116597664
chrIII,2364165,2364826,SPNCRNA.521.1,661,+,3,0.7386293551,1.117442292
chrII,4033336,4035308,SPNCRNA.436.1,1972,+,9,2.215888065,1.123675489
chrI,33834,34272,SPAC977.03.1,438,+,2,0.49241957,1.124245594
chrIII,1713940,1714159,SPNCRNA.1221.1,219,-,1,0.246209785,1.124245594
chrI,1512456,1512674,SPNCRNA.173.1,218,+,1,0.246209785,1.129402684
chrII,2186473,2186908,SPNCRNA.38.1,435,-,2,0.49241957,1.131999012
chrII,87726,89029,SPBPB10D8.03.1,1302,+,6,1.47725871,1.134607304
chrII,3313371,3313800,SPNCRNA.36.1,429,+,2,0.49241957,1.147831166
chrI,1063020,1063448,SPNCRNA.166.1,428,+,2,0.49241957,1.150513014
chrII,1914033,1915317,SPNCRNA.380.1,1284,+,6,1.47725871,1.150513014
chrI,4961795,4963074,SPNCRNA.1039.1,1279,+,6,1.47725871,1.155010719
chrII,520405,522725,SPNCRNA.1366.1,2320,-,11,2.708307635,1.167373981
chrII,2527460,2528721,SPNCRNA.399.1,1261,+,6,1.47725871,1.171497788
chrI,4516017,4517065,SPNCRNA.994.1,1048,+,5,1.231048925,1.174665005
chrI,42056,43307,SPAC977.07c.1,1251,-,6,1.47725871,1.180862278
chrI,3178806,3179222,SPNCRNA.219.1,416,+,2,0.49241957,1.18370089
chrI,2370922,2371545,SPNCRNA.819.1,623,-,3,0.7386293551,1.185600891
chrI,58276,59105,SPAC977.13c.1,829,-,4,0.9848391401,1.187984487
chrII,889338,891607,SPNCRNA.1395.1,2269,+,11,2.708307635,1.193612885
chrI,1701859,1702271,SPNCRNA.177.1,412,+,2,0.49241957,1.195193131
chrIII,141428,141634,SPNCRNA.457.1,206,-,1,0.246209785,1.195193131
chrIII,2309720,2310132,SPNCRNA.550.1,412,+,2,0.49241957,1.195193131
chrII,4107561,4109819,SPNCRNA.1669.1,2258,-,11,2.708307635,1.199427651
chrIII,299135,299950,SPNCRNA.1128.1,815,+,4,0.9848391401,1.208391583
chrIII,2432504,2433520,SPCC569.02c.1,1016,+,5,1.231048925,1.211662328
chrI,4434860,4435509,SPAC9E9.01.1,608,+,3,0.7386293551,1.214850913
chrI,5496843,5497448,SPAC869.09.1,605,-,3,0.7386293551,1.220874967
chrI,4510982,4515015,SPAC27D7.03c.1,4033,-,20,4.9241957,1.220975874
chrI,1376586,1377072,SPAC57A10.06.1,402,+,2,0.49241957,1.224924304
chrI,2157793,2158195,SPNCRNA.187.1,402,+,2,0.49241957,1.224924304
chrI,4516069,4517070,SPNCRNA.130.1,1001,+,5,1.231048925,1.229819106
chrII,2319347,2319746,SPNCRNA.1502.1,399,+,2,0.49241957,1.234134261
chrIII,2019972,2021941,SPCC1906.04.1,1589,+,8,1.96967828,1.239570976
chrII,127381,128570,SPNCRNA.1313.1,1189,-,6,1.47725871,1.24243794
chrII,2809082,2809873,SPNCRNA.1551.1,791,+,4,0.9848391401,1.245055803
chrIII,763666,765622,SPNCRNA.1157.1,1956,+,10,2.46209785,1.258741232
chrI,3578603,3581329,SPNCRNA.918.1,2726,-,14,3.44693699,1.264466981
chrI,3951824,3952600,SPNCRNA.239.1,776,+,4,0.9848391401,1.269122603
chrI,4787153,4787928,SPNCRNA.253.1,775,-,4,0.9848391401,1.270760181
chrI,3165353,3165546,SPRRNA.14.1,193,+,1,0.246209785,1.275698368
chrI,1920875,1921644,SPNCRNA.774.1,769,+,4,0.9848391401,1.280675085
chrII,12175,12750,SPBC1348.04.1,575,+,3,0.7386293551,1.284572791
chrII,3702519,3703093,SPNCRNA.1631.1,574,+,3,0.7386293551,1.286810723
chrI,3951824,3952588,SPNCRNA.951.1,764,+,4,0.9848391401,1.289056466
chrIII,2391630,2391821,SPNCRNA.40.1,191,+,1,0.246209785,1.289056466
chrII,757398,758197,SPBC577.05c.1,572,-,3,0.7386293551,1.291310061
chrII,1266596,1267929,SPNCRNA.1425.1,1333,-,7,1.723468495,1.292924602
chrIII,966132,971255,SPNCRNA.1164.1,5123,+,27,6.647664195,1.297611594
chrI,3876713,3877850,SPNCRNA.944.1,1137,-,6,1.47725871,1.299260079
chrII,64486,65620,SPBPB21E7.04c.1,1134,-,6,1.47725871,1.302697275
chrIII,2432822,2433573,SPNCRNA.1298.1,751,-,4,0.9848391401,1.31137036
chrI,5575192,5575564,SPAC750.07c.1,372,-,2,0.49241957,1.323708522
chrII,2826630,2828674,SPNCRNA.1553.1,2044,+,11,2.708307635,1.325003735
chrI,998044,998413,SPNCRNA.163.1,369,+,2,0.49241957,1.33447038
chrII,1611105,1612940,SPNCRNA.362.1,1835,+,10,2.46209785,1.341742698
chrII,1952766,1955702,SPNCRNA.1481.1,2936,+,16,3.93935656,1.341742698
chrII,320609,321519,SPNCRNA.301.1,910,+,5,1.231048925,1.352801017
chrII,332493,333584,SPNCRNA.1340.1,1091,+,6,1.47725871,1.354040981
chrIII,604365,604961,SPCC1183.12.1,545,-,3,0.7386293551,1.35528322
chrI,2597442,2597985,SPNCRNA.199.1,543,+,3,0.7386293551,1.360275055
chrIII,966441,967703,SPNCRNA.1165.1,1262,-,7,1.723468495,1.365664418
chrIII,2107548,2108268,SPNCRNA.1262.1,720,-,4,0.9848391401,1.367832139
chrI,5172049,5173481,SPNCRNA.1055.1,1432,-,8,1.96967828,1.375473659
chrII,1640113,1641543,SPNCRNA.373.1,1430,+,8,1.96967828,1.377397399
chrI,2325853,2327280,SPNCRNA.813.1,1427,+,8,1.96967828,1.380293119
chrI,4184340,4184518,SPRRNA.19.1,178,-,1,0.246209785,1.383201039
chrI,1118925,1119763,SPAC30D11.02c.1,710,+,4,0.9848391401,1.38709738
chrII,889556,891152,SPBC713.13.1,1596,-,9,2.215888065,1.388401043
chrI,2404683,2405924,SPNCRNA.193.1,1241,+,7,1.723468495,1.388773969
chrI,5366783,5367314,SPNCRNA.264.1,531,+,3,0.7386293551,1.391015735
chrII,4526884,4532899,SPBCPT2R1.08c.1,6015,+,34,8.371132691,1.391709508
chrIII,55578,56029,SPCC757.06.1,351,+,2,0.49241957,1.402904758
chrI,3642497,3642845,SPAC1142.09.1,348,+,2,0.49241957,1.414998764
chrII,4033492,4035573,SPNCRNA.1657.1,2081,+,12,2.95451742,1.419758491
chrIII,1917691,1918556,SPNCRNA.505.1,865,+,5,1.231048925,1.423177948
chrIII,1938960,1939133,SPNCRNA.508.1,173,+,1,0.246209785,1.423177948
chrII,3741387,3742251,SPBC13G1.15c.1,864,-,5,1.231048925,1.424825145
chrI,3786104,3787136,SPNCRNA.234.1,1032,+,6,1.47725871,1.431452238
chrII,3605141,3606517,SPNCRNA.425.1,1376,+,8,1.96967828,1.431452238
chrI,2542865,2544911,SPNCRNA.834.1,2046,+,12,2.95451742,1.44404566
chrIII,264765,265275,SPNCRNA.1123.1,510,-,3,0.7386293551,1.448292853
chrI,3165555,3166062,SPNCRNA.218.1,507,+,3,0.7386293551,1.456862633
chrIII,1426431,1426937,SPNCRNA.493.1,506,+,3,0.7386293551,1.459741808
chrII,109404,109905,SPNCRNA.1310.1,501,-,3,0.7386293551,1.47431009
chrII,4430180,4431679,SPBC8E4.05c.1,1499,+,9,2.215888065,1.478244206
chrI,3753159,3753489,SPNCRNA.84.1,330,-,2,0.49241957,1.492180515
chrII,308159,310467,SPBC1773.12.1,2308,+,14,3.44693699,1.493473566
chrI,4962520,4963013,SPNCRNA.256.1,493,+,3,0.7386293551,1.498233986
chrI,32033,33012,SPAC977.02.1,979,+,6,1.47725871,1.508946588
chrI,3076913,3077076,SPNCRNA.213.1,163,+,1,0.246209785,1.510489479
chrII,560461,561113,SPNCRNA.1370.1,652,+,4,0.9848391401,1.510489479
chrI,977708,978637,SPAC222.15.1,651,+,4,0.9848391401,1.512809739
chrI,1189966,1190942,SPNCRNA.168.1,976,+,6,1.47725871,1.513584744
chrIII,252471,254092,SPCC794.16.1,1621,+,10,2.46209785,1.51887591
chrIII,1991798,1992604,SPNCRNA.1251.1,806,+,5,1.231048925,1.527355986
chrI,3547888,3548049,SPRRNA.15.1,161,-,1,0.246209785,1.529253323
chrI,3993494,3995104,SPAPB15E9.06.1,1610,+,10,2.46209785,1.529253323
chrIII,1164173,1164978,SPNCRNA.486.1,805,+,5,1.231048925,1.529253323
chrII,2300660,2303704,SPNCRNA.1501.1,3044,+,19,4.677985915,1.536789065
chrI,5266524,5269973,SPNCRNA.1063.1,3449,-,22,5.41661527,1.570488626
chrII,201347,201812,SPNCRNA.1326.1,465,-,3,0.7386293551,1.588450226
chrII,4502691,4503664,SPBPB2B2.18.1,462,+,3,0.7386293551,1.598764838
chrIII,756718,757024,SPNCRNA.473.1,306,+,2,0.49241957,1.609214281
chrI,2414050,2415271,SPAC6B12.03c.1,1221,-,8,1.96967828,1.613168125
chrI,1572799,1573408,SPNCRNA.745.1,609,-,4,0.9848391401,1.617141445
chrI,5317423,5317575,SPNCRNA.263.1,152,+,1,0.246209785,1.619801217
chrI,95158,96525,SPNCRNA.606.1,1367,-,9,2.215888065,1.620986149
chrI,2397247,2398350,SPAC15F9.01c.1,1048,-,7,1.723468495,1.644531007
chrII,1184426,1185324,SPBC4.01.1,747,+,5,1.231048925,1.647990529
chrIII,230599,231934,SPNCRNA.1120.1,1335,+,9,2.215888065,1.659841247
chrI,5495269,5496597,SPNCRNA.1092.1,1328,+,9,2.215888065,1.668590411
chrIII,563753,565077,SPCC1672.14.1,1324,-,9,2.215888065,1.673631469
chrI,5478366,5479836,SPNCRNA.1089.1,1470,+,10,2.46209785,1.674896497
chrII,1406384,1406824,SPRRNA.32.1,440,+,3,0.7386293551,1.67870308
chrI,1646602,1647186,SPNCRNA.751.1,584,-,4,0.9848391401,1.686368391
chrI,4231811,4232976,SPNCRNA.243.1,1165,+,8,1.96967828,1.69071097
chrI,0,5662,SPAC212.11.1,5662,-,39,9.602181616,1.695899261
chrI,4230527,4231826,SPNCRNA.973.1,1299,-,9,2.215888065,1.705841467
chrII,1461560,1463725,SPNCRNA.1435.1,2165,-,15,3.693146775,1.705841467
chrII,3751127,3752132,SPBC13G1.16.1,1005,-,7,1.723468495,1.714894025
chrI,148037,150331,SPAC5H10.02c.1,2294,-,16,3.93935656,1.717243487
chrIII,1711430,1712000,SPCC191.04c.1,570,-,4,0.9848391401,1.727787965
chrI,597722,598290,SPNCRNA.156.1,568,+,4,0.9848391401,1.733871725
chrI,1848337,1850881,SPAC1399.06.1,2544,-,18,4.43177613,1.742050366
chrII,4210359,4210500,SPRRNA.38.1,141,-,1,0.246209785,1.746168688
chrII,3583983,3584969,SPNCRNA.1619.1,986,+,7,1.723468495,1.74793965
chrIII,2170043,2170746,SPNCRNA.1267.1,703,+,5,1.231048925,1.751136451
chrII,900652,901207,SPNCRNA.566.1,555,-,4,0.9848391401,1.774484937
chrII,591645,592613,SPNCRNA.316.1,968,+,7,1.723468495,1.78044266
chrII,1777374,1777788,SPNCRNA.17.1,414,-,3,0.7386293551,1.784128877
chrIII,285011,285974,SPNCRNA.1124.1,963,-,7,1.723468495,1.789686911
chrI,34297,34978,SPAC977.04.1,681,+,5,1.231048925,1.807707673
chrI,4889797,4890204,SPNCRNA.1034.1,407,-,3,0.7386293551,1.81481414
chrI,3753729,3754811,SPNCRNA.230.1,1082,+,8,1.96967828,1.820405065
chrI,555299,556109,SPNCRNA.154.1,810,+,6,1.47725871,1.823776185
chrIII,285643,286318,SPNCRNA.1125.1,675,+,5,1.231048925,1.823776185
chrI,1190108,1190905,SPNCRNA.720.1,797,-,6,1.47725871,1.853524103
chrI,2859019,2859417,SPNCRNA.856.1,398,-,3,0.7386293551,1.855852651
